Corp,Corp Name,School,School Name,"Performance Points
 (3-8)","Performance Weight
 (3-8)","Growth Points
 (4-8)","Growth Weight
 (4-8)","Performance Points
 (10)","Performance Weight
 (10)","Growth Points
 (10-12)","Growth Weight
 (10-12)","Mult. Measures Points
 (12)","Mult. Measures Weight
 (12)",Overall Points,Overall Grade
0225,Northwest Allen County Schools,0069,Arcola School,76,0.5,85,0.5,,,,,,,80.5,B
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,76.3,0.5,112.9,0.5,,,,,,,94.6,A
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,76,0.5,81.1,0.5,,,,,,,78.6,C
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,61.9,0.5,81.8,0.5,,,,,,,71.9,C
0225,Northwest Allen County Schools,0090,Carroll Middle School,71.3,0.5,107.2,0.5,,,,,,,89.3,B
0225,Northwest Allen County Schools,0091,Carroll High School,,,,,70,0.2,124.2,0.2,100.2,0.6,99.0,A
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,74.9,0.5,110.4,0.5,,,,,,,92.7,A
0225,Northwest Allen County Schools,0094,Oak View Elementary School,84.4,0.5,94.8,0.5,,,,,,,89.6,B
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,79.5,0.5,98.2,0.5,,,,,,,88.9,B
0225,Northwest Allen County Schools,0096,Eel River Elementary School,73.7,0.5,88.7,0.5,,,,,,,81.2,B
0235,Fort Wayne Community Schools,0101,North Side High School,,,,,41.8,0.2,114.7,0.2,92.2,0.6,86.6,B
0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,,,,,40.8,0.2,83,0.2,100.4,0.6,85.0,B
0235,Fort Wayne Community Schools,0105,South Side High School,,,,,25,0.2,91.4,0.2,92.9,0.6,79.0,C
0235,Fort Wayne Community Schools,0107,Blackhawk Middle School,61.5,0.5,97,0.5,,,,,,,79.3,C
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,57.1,0.5,95.6,0.5,,,,,,,76.4,C
0235,Fort Wayne Community Schools,0119,Jefferson Middle School,54.6,0.5,98.2,0.5,,,,,,,76.4,C
0235,Fort Wayne Community Schools,0121,Kekionga Middle School,32.6,0.5,88.5,0.5,,,,,,,60.6,D
0235,Fort Wayne Community Schools,0125,Lakeside Middle School,43.3,0.5,110.8,0.5,,,,,,,77.1,C
0235,Fort Wayne Community Schools,0126,Lane Middle School,44,0.5,95.8,0.5,,,,,,,69.9,D
0235,Fort Wayne Community Schools,0127,Memorial Park Middle School,57.9,0.5,106.2,0.5,,,,,,,82.1,B
0235,Fort Wayne Community Schools,0128,Miami Middle School,40,0.5,89.3,0.5,,,,,,,64.7,D
0235,Fort Wayne Community Schools,0129,Northwood Middle School,43.7,0.5,87.2,0.5,,,,,,,65.5,D
0235,Fort Wayne Community Schools,0133,Portage Middle School,36,0.5,93.5,0.5,,,,,,,64.8,D
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,67.7,0.5,111.6,0.5,,,,,,,89.7,B
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,43.3,0.5,120.1,0.5,,,,,,,81.7,B
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,16.5,0.5,71.5,0.5,,,,,,,44.0,F
0235,Fort Wayne Community Schools,0141,Adams Elementary School,47.5,0.5,126.4,0.5,,,,,,,87.0,B
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,32.4,0.5,78.3,0.5,,,,,,,55.4,F
0235,Fort Wayne Community Schools,0151,Bunche Elementary School,57.1,0.5,95.6,0.5,,,,,,,76.4,C
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,53.5,0.5,113.6,0.5,,,,,,,83.6,B
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,83.3,0.5,118.4,0.5,,,,,,,100.9,A
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,43.6,0.5,101,0.5,,,,,,,72.3,C
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,51.2,0.5,92.6,0.5,,,,,,,71.9,C
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,57.6,0.5,110.6,0.5,,,,,,,84.1,B
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,41.5,0.5,102.7,0.5,,,,,,,72.1,C
0235,Fort Wayne Community Schools,0177,Wayne High School,,,,,30.2,0.2,114.1,0.2,95,0.6,85.9,B
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,49.8,0.5,106.1,0.5,,,,,,,78.0,C
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,75.4,0.5,130.8,0.5,,,,,,,103.1,A
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,50.1,0.5,99.3,0.5,,,,,,,74.7,C
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,57.7,0.5,96.6,0.5,,,,,,,77.2,C
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,60.9,0.5,88.2,0.5,,,,,,,74.6,C
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,47.9,0.5,101.5,0.5,,,,,,,74.7,C
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,62.5,0.5,95.1,0.5,,,,,,,78.8,C
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,35.8,0.5,113.2,0.5,,,,,,,74.5,C
0235,Fort Wayne Community Schools,0219,Northrop High School,,,,,40.8,0.2,96.6,0.2,100.3,0.6,87.7,B
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,57.3,0.5,114.8,0.5,,,,,,,86.1,B
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,61.9,0.5,110.4,0.5,,,,,,,86.2,B
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,60,0.5,100.2,0.5,,,,,,,80.1,B
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,45,0.5,79.6,0.5,,,,,,,62.3,D
0235,Fort Wayne Community Schools,0241,Whitney M Young Early Childhood,67.7,0.5,111.6,0.5,,,,,,,89.7,B
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,28.7,0.5,86.4,0.5,,,,,,,57.6,F
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,41.6,0.5,104,0.5,,,,,,,72.8,C
0235,Fort Wayne Community Schools,0257,Study Elementary School,37.1,0.5,101.9,0.5,,,,,,,69.5,D
0235,Fort Wayne Community Schools,0265,Washington Elementary School,53.9,0.5,109,0.5,,,,,,,81.5,B
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,65.6,0.5,108.9,0.5,,,,,,,87.3,B
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,66,0.5,113.4,0.5,,,,,,,89.7,B
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,44.8,0.5,94.5,0.5,,,,,,,69.7,D
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,50.7,0.5,117.9,0.5,,,,,,,84.3,B
0255,East Allen County Schools,0043,Prince Chapman Academy,,,,,,,,,,,,Appeal Pending
0255,East Allen County Schools,0049,Leo Junior/Senior High School,77.8,0.162,84.8,0.162,63.8,0.135,116.9,0.135,100.4,0.406,91.5,A
0255,East Allen County Schools,0053,Leo Elementary School,84.5,0.5,99.9,0.5,,,,,,,92.2,A
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,56.6,0.116,98.3,0.116,42.6,0.154,101.9,0.154,100.6,0.461,86.6,B
0255,East Allen County Schools,0083,New Haven Primary School,61.2,0.5,106.2,0.5,,,,,,,83.7,B
0255,East Allen County Schools,0281,Heritage Elementary School,65.6,0.5,113.1,0.5,,,,,,,89.4,B
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,58.6,0.137,77.8,0.137,41.4,0.145,94.8,0.145,102.6,0.435,83.1,B
0255,East Allen County Schools,0291,Cedarville Elementary School,87.8,0.5,99.9,0.5,,,,,,,93.9,A
0255,East Allen County Schools,0294,Paul Harding Jr High School,38,0.5,104.9,0.5,,,,,,,71.5,C
0255,East Allen County Schools,0297,New Haven High School,,,,,31.9,0.2,101.8,0.2,94.5,0.6,83.4,B
0255,East Allen County Schools,0301,New Haven Middle School,57.3,0.5,102.7,0.5,,,,,,,80.0,B
0255,East Allen County Schools,0305,New Haven Intermediate School,61.2,0.5,106.2,0.5,,,,,,,83.7,B
0255,East Allen County Schools,0310,Southwick Elementary School,37.2,0.5,96,0.5,,,,,,,66.6,D
0255,East Allen County Schools,0323,Woodlan Elementary School,77.3,0.5,108.3,0.5,,,,,,,92.8,A
0255,East Allen County Schools,0394,East Allen University,,,,,60.4,0.2,85.1,0.2,100,0.6,89.1,B
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,49.4,0.5,110.4,0.5,,,,,,,79.9,C
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,79.3,0.5,103.5,0.5,,,,,,,91.4,A
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,68.7,0.5,107,0.5,,,,,,,87.9,B
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,65.5,0.5,102.1,0.5,,,,,,,83.8,B
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,67.1,0.5,126.8,0.5,,,,,,,97.0,A
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,77.9,0.5,123.7,0.5,,,,,,,100.8,A
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,56,0.5,96.7,0.5,,,,,,,76.4,C
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,60.4,0.5,105.5,0.5,,,,,,,83.0,B
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,63.1,0.5,101.3,0.5,,,,,,,82.2,B
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,50.4,0.5,106.5,0.5,,,,,,,78.5,C
0365,Bartholomew Con School Corp,0390,Central Middle School,60,0.5,92.8,0.5,,,,,,,76.4,C
0365,Bartholomew Con School Corp,0392,Southside Elementary School,70.5,0.5,102.6,0.5,,,,,,,86.6,B
0365,Bartholomew Con School Corp,0395,Northside Middle School,66.1,0.5,111.2,0.5,,,,,,,88.7,B
0365,Bartholomew Con School Corp,0397,Columbus North High School,,,,,57.7,0.2,97.6,0.2,94.8,0.6,87.9,B
0365,Bartholomew Con School Corp,0399,Columbus East High School,,,,,45.1,0.2,82,0.2,94.4,0.6,82.1,B
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,71.7,0.5,100.9,0.5,,,,,,,86.3,B
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,60,0.176,99.1,0.176,53.4,0.13,101.6,0.13,100,0.389,87.1,B
0395,Benton Community School Corp,0421,Otterbein Elementary School,73.8,0.5,88.2,0.5,,,,,,,81.0,B
0395,Benton Community School Corp,0433,Boswell Elementary School,49.4,0.5,97.4,0.5,,,,,,,73.4,C
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,56.6,0.187,87.3,0.187,57.7,0.125,117.5,0.125,100.5,0.376,86.6,B
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,58.7,0.5,92,0.5,,,,,,,75.4,C
0515,Blackford County Schools,0485,Montpelier School,69.3,0.5,101.3,0.5,,,,,,,85.3,B
0515,Blackford County Schools,0489,Blackford High School,,,,,33.5,0.2,71.1,0.2,101.5,0.6,81.8,B
0515,Blackford County Schools,0491,Blackford Junior High School,57.6,0.5,84.8,0.5,,,,,,,71.2,C
0515,Blackford County Schools,0494,North Side Elementary School,73.9,0.5,120.8,0.5,,,,,,,97.4,A
0515,Blackford County Schools,0501,Southside Elementary School,61.2,0.5,120.8,0.5,,,,,,,91.0,A
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,71.4,0.5,102.3,0.5,,,,,,,86.9,B
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,72.2,0.5,106.5,0.5,,,,,,,89.4,B
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,62.3,0.163,98.7,0.163,46.8,0.135,74.4,0.135,100,0.405,83.1,B
0630,Zionsville Community Schools,0510,Zionsville West Middle School,80.3,0.5,100.7,0.5,,,,,,,90.5,A
0630,Zionsville Community Schools,0511,Zionsville Middle School,83.9,0.5,97.3,0.5,,,,,,,90.6,A
0630,Zionsville Community Schools,0512,Zionsville Community High School,,,,,73,0.2,114.1,0.2,100.5,0.6,97.7,A
0630,Zionsville Community Schools,0514,Eagle Elementary School,87.2,0.5,93,0.5,,,,,,,90.1,A
0630,Zionsville Community Schools,0517,Zionsville Pleasant View Elem Sch,83.5,0.5,84.8,0.5,,,,,,,84.2,B
0630,Zionsville Community Schools,0541,Union Elementary School,86.2,0.5,95,0.5,,,,,,,90.6,A
0630,Zionsville Community Schools,0542,Stonegate Elementary,71.6,0.5,104.7,0.5,,,,,,,88.2,B
0630,Zionsville Community Schools,0544,Boone Meadow,88.4,0.5,112.2,0.5,,,,,,,100.3,A
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,80.2,0.5,94.7,0.5,,,,,,,87.5,B
0665,Lebanon Community School Corp,0553,Lebanon Senior High School,,,,,48.4,0.2,94.7,0.2,100.9,0.6,89.2,B
0665,Lebanon Community School Corp,0557,Lebanon Middle School,67.6,0.5,108.2,0.5,,,,,,,87.9,B
0665,Lebanon Community School Corp,0561,Central Elementary School,77.1,0.5,88.6,0.5,,,,,,,82.9,B
0665,Lebanon Community School Corp,0565,Harney Elementary School,63.6,0.5,100.8,0.5,,,,,,,82.2,B
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,52.9,0.5,99.8,0.5,,,,,,,76.4,C
0670,Brown County School Corporation,0571,Brown County Intermediate School,70.7,0.5,110.5,0.5,,,,,,,90.6,A
0670,Brown County School Corporation,0573,Brown County High School,,,,,39.2,0.2,82.8,0.2,100,0.6,84.4,B
0670,Brown County School Corporation,0577,Van Buren Elementary School,59.5,0.5,90.4,0.5,,,,,,,75.0,C
0670,Brown County School Corporation,0581,Helmsburg Elementary School,72,0.5,104.6,0.5,,,,,,,88.3,B
0670,Brown County School Corporation,0585,Sprunica Elementary School,71,0.5,81.3,0.5,,,,,,,76.2,C
0670,Brown County School Corporation,0587,Brown County Junior High,65.6,0.5,100,0.5,,,,,,,82.8,B
0750,Carroll Consolidated School Corp,0621,Carroll Senior High School,,,,,59.7,0.2,108,0.2,100,0.6,93.5,A
0750,Carroll Consolidated School Corp,0623,Carroll Junior High School,51.7,0.5,84.3,0.5,,,,,,,68.0,D
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,61,0.5,100,0.5,,,,,,,80.5,B
0755,Delphi Community School Corp,0609,Delphi Community Middle School,62,0.5,91.2,0.5,,,,,,,76.6,C
0755,Delphi Community School Corp,0637,Delphi Community High School,,,,,52.2,0.2,122.3,0.2,100.5,0.6,95.2,A
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,67.3,0.5,100.9,0.5,,,,,,,84.1,B
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,56.4,0.177,100.6,0.177,57.3,0.129,140.6,0.129,93.2,0.387,89.4,B
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,55,0.5,100.7,0.5,,,,,,,77.9,C
0815,Southeastern School Corp,0689,Lewis Cass High School,,,,,44.1,0.2,124.4,0.2,100.4,0.6,93.9,A
0815,Southeastern School Corp,0691,Lewis Cass Junior High School ,,,121.7,1,,,,,,,121.7,A
0815,Southeastern School Corp,0695,Lewis Cass Elementary School,61.9,0.5,97.7,0.5,,,,,,,79.8,C
0875,Logansport Community Sch Corp,0701,Logansport Community High School,,,,,44.4,0.2,125.6,0.2,100.2,0.6,94.1,A
0875,Logansport Community Sch Corp,0702,Logansport Junior High School ,48.8,0.5,94.7,0.5,,,,,,,71.8,C
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,45.9,0.5,90.7,0.5,,,,,,,68.3,D
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,51.8,0.5,94.4,0.5,,,,,,,73.1,C
0875,Logansport Community Sch Corp,0711,Landis Elementary School,54.4,0.5,97.3,0.5,,,,,,,75.9,C
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,45.9,0.5,99.1,0.5,,,,,,,72.5,C
0875,Logansport Community Sch Corp,0715,Columbia 6th Grade Academy ,48.5,0.5,87.4,0.5,,,,,,,68.0,D
0940,West Clark Community Schools,0765,Henryville Jr & Sr High School,56.5,0.164,102.7,0.164,46.7,0.134,102.2,0.134,100,0.403,86.4,B
0940,West Clark Community Schools,0767,Henryville Elementary School,59.7,0.5,107.9,0.5,,,,,,,83.8,B
0940,West Clark Community Schools,0777,Silver Creek High School,,,,,40.7,0.2,109.4,0.2,95.8,0.6,87.5,B
0940,West Clark Community Schools,0781,Silver Creek Middle School,61.5,0.5,121.2,0.5,,,,,,,91.4,A
0940,West Clark Community Schools,0789,Silver Creek Elementary School,61,0.5,106.9,0.5,,,,,,,84.0,B
0940,West Clark Community Schools,0813,William W Borden High School,58.7,0.161,103.4,0.161,54.9,0.136,133.8,0.136,100,0.407,92.5,A
0940,West Clark Community Schools,0815,William W Borden Elementary School,78.9,0.5,118.6,0.5,,,,,,,98.8,A
0940,West Clark Community Schools,0818,Silver Creek Primary School,61,0.5,106.9,0.5,,,,,,,84.0,B
1000,Clarksville Community School Corp,0833,Clarksville Senior High School,,,,,31,0.2,77.9,0.2,100,0.6,81.8,B
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,63.6,0.5,122,0.5,,,,,,,92.8,A
1000,Clarksville Community School Corp,0851,Clarksville Middle School,57,0.5,112,0.5,,,,,,,84.5,B
1010,Greater Clark County Schools,0755,W E Wilson Elementary,61,0.5,86,0.5,,,,,,,73.5,C
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,67.7,0.5,95.5,0.5,,,,,,,81.6,B
1010,Greater Clark County Schools,0801,Northaven Elementary School,56.8,0.5,109.3,0.5,,,,,,,83.1,B
1010,Greater Clark County Schools,0805,Utica Elementary School,79.6,0.5,109.7,0.5,,,,,,,94.7,A
1010,Greater Clark County Schools,0807,New Washington Elementary School,72.1,0.5,99.3,0.5,,,,,,,85.7,B
1010,Greater Clark County Schools,0809,New Washington Middle/High School,71.4,0.209,118.3,0.209,60.2,0.116,112.4,0.116,100,0.349,94.6,A
1010,Greater Clark County Schools,0821,Charlestown Senior High School,,,,,46.9,0.2,105.5,0.2,100.4,0.6,90.7,A
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,65.5,0.5,101.4,0.5,,,,,,,83.5,B
1010,Greater Clark County Schools,0829,Pleasant Ridge Elementary School,63.6,0.5,99.7,0.5,,,,,,,81.7,B
1010,Greater Clark County Schools,0849,Jeffersonville High School,,,,,41.7,0.2,108.9,0.2,94.3,0.6,86.7,B
1010,Greater Clark County Schools,0853,Parkview Middle School,60.1,0.5,106.4,0.5,,,,,,,83.3,B
1010,Greater Clark County Schools,0863,Charlestown Middle School,61.9,0.5,98.7,0.5,,,,,,,80.3,B
1010,Greater Clark County Schools,0865,Bridgepoint Elementary School,57.5,0.5,83.1,0.5,,,,,,,70.3,C
1010,Greater Clark County Schools,0869,Maple Elementary School,56,0.5,71.1,0.5,,,,,,,63.6,D
1010,Greater Clark County Schools,0871,Riverside Elementary School,61.1,0.5,89.6,0.5,,,,,,,75.4,C
1010,Greater Clark County Schools,0877,Spring Hill Elementary School,56.4,0.5,84.2,0.5,,,,,,,70.3,C
1010,Greater Clark County Schools,0879,Parkwood Elementary School,51.1,0.5,92.4,0.5,,,,,,,71.8,C
1010,Greater Clark County Schools,0883,River Valley Middle School,50.3,0.5,86.5,0.5,,,,,,,68.4,D
1125,Clay Community Schools,0895,Clay City Elementary School,74.2,0.5,101.9,0.5,,,,,,,88.1,B
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,68.5,0.169,80.9,0.169,55.9,0.132,93.4,0.132,100,0.397,84.7,B
1125,Clay Community Schools,0901,Jackson Township Elementary School,86.9,0.5,118.2,0.5,,,,,,,102.6,A
1125,Clay Community Schools,0907,Staunton Elementary School,88.5,0.5,92.4,0.5,,,,,,,90.5,A
1125,Clay Community Schools,0923,Van Buren Elementary School,76.9,0.5,112.2,0.5,,,,,,,94.6,A
1125,Clay Community Schools,0925,North Clay Middle School,63.5,0.5,94.7,0.5,,,,,,,79.1,C
1125,Clay Community Schools,0933,Northview High School,,,,,40.9,0.2,95.4,0.2,95.3,0.6,84.4,B
1125,Clay Community Schools,0941,East Side Elementary School,73.7,0.5,97.6,0.5,,,,,,,85.7,B
1125,Clay Community Schools,0942,Forest Park Elementary School,45.2,0.5,92.3,0.5,,,,,,,68.8,D
1125,Clay Community Schools,0949,Meridian Street Elementary School,80.7,0.5,129.2,0.5,,,,,,,105.0,A
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,51.8,0.187,109,0.187,39.4,0.125,116.8,0.125,100,0.376,87.2,B
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,66.9,0.5,114.7,0.5,,,,,,,90.8,A
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,48.1,0.179,83.2,0.179,49.4,0.129,81.5,0.129,94.8,0.386,77.0,C
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,64.5,0.5,97.9,0.5,,,,,,,81.2,B
1170,Community Schools of Frankfort,0997,Frankfort High School,,,,,24.2,0.2,83.8,0.2,94.6,0.6,78.4,C
1170,Community Schools of Frankfort,0999,Frankfort Middle School,39.7,0.5,99.8,0.5,,,,,,,69.8,D
1170,Community Schools of Frankfort,1014,Blue Ridge Primary Elementary Sch,53.9,0.5,77.5,0.5,,,,,,,65.7,D
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,53.9,0.5,77.5,0.5,,,,,,,65.7,D
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,52.8,0.5,108.5,0.5,,,,,,,80.7,B
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,66.3,0.208,100.3,0.208,51.3,0.117,95.2,0.117,100,0.351,86.9,B
1180,Rossville Con School District,1033,Rossville Elementary School,66.5,0.5,93,0.5,,,,,,,79.8,C
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,48.4,0.5,93.2,0.5,,,,,,,70.8,C
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,69.7,0.5,108,0.5,,,,,,,88.9,B
1300,Crawford County Community Sch Corp,1059,Crawford County High School,,,,,50.9,0.2,78.8,0.2,94.6,0.6,82.7,B
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,67.4,0.5,100.5,0.5,,,,,,,84.0,B
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,64.3,0.5,93.7,0.5,,,,,,,79.0,C
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,84.6,0.244,97.1,0.244,69.7,0.102,119.8,0.102,101.1,0.307,94.7,A
1315,Barr-Reeve Community Schools Inc,1073,Barr Reeve Primary Grade School,84.6,0.5,123.7,0.5,,,,,,,104.2,A
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,84.6,0.5,123.7,0.5,,,,,,,104.2,A
1375,North Daviess Com Schools,1090,North Daviess Elementary School,70.4,0.5,95.3,0.5,,,,,,,82.9,B
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,68.5,0.173,106.7,0.173,45.5,0.131,95.4,0.131,94.6,0.393,86.0,B
1405,Washington Community Schools,1103,Lena Dunn Elementary School,37,0.5,75.2,0.5,,,,,,,56.1,F
1405,Washington Community Schools,1105,Veale Elementary School,74.5,0.5,105.9,0.5,,,,,,,90.2,A
1405,Washington Community Schools,1123,Washington Junior High School,50.7,0.5,93.6,0.5,,,,,,,72.2,C
1405,Washington Community Schools,1125,Washington High School,,,,,41.7,0.2,104.8,0.2,100,0.6,89.3,B
1405,Washington Community Schools,1129,North Elementary School,63.6,0.5,109.6,0.5,,,,,,,86.6,B
1405,Washington Community Schools,1133,Helen Griffith Elementary School,56.4,0.5,91.5,0.5,,,,,,,74.0,C
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,78.4,0.5,107,0.5,,,,,,,92.7,A
1560,Sunman-Dearborn Com Sch Corp,1190,Sunman-Dearborn Middle School,67.5,0.5,104,0.5,,,,,,,85.8,B
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,69.6,0.5,97.4,0.5,,,,,,,83.5,B
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,60.4,0.5,78,0.5,,,,,,,69.2,D
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,,,,,60.8,0.2,116.5,0.2,100,0.6,95.5,A
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,,,,,,,,,,,,Appeal Pending
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,67.4,0.5,99.2,0.5,,,,,,,83.3,B
1600,South Dearborn Community Sch Corp,1169,Moores Hill Elementary School,67.1,0.5,106.1,0.5,,,,,,,86.6,B
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,52.3,0.5,97.1,0.5,,,,,,,74.7,C
