State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,
IN,18,08970,Plainfield Community School Corporation,"32,631","5,246",291,
IN,18,09060,Plymouth Community School Corporation,"19,250","3,403",468,
IN,18,09150,Portage Township Schools,"48,833","8,372",865,
IN,18,09180,Porter Township School Corporation,"9,653","1,544",79,
IN,18,09300,Prairie Heights Community School Corporation,"9,998","1,581",146,
IN,18,01770,Randolph Central School Corporation,"9,318","1,493",252,
IN,18,03180,Randolph Eastern School Corporation,"4,929",850,157,
IN,18,10740,Randolph Southern School Corporation,"3,067",528,84,
IN,18,09420,Rensselaer Central School Corporation,"10,745","1,750",184,
IN,18,09480,Richland-Bean Blossom Community School Corporation,"18,574","3,268",350,
IN,18,09510,Richmond Community School Corporation,"40,201","5,856","1,201",
IN,18,09600,Rising Sun-Ohio County Community Schools,"5,875",844,109,
IN,18,04620,River Forest Community School Corporation,"7,290","1,256",324,
IN,18,09630,Rochester Community School Corporation,"11,208","1,838",233,
IN,18,09720,Rossville Consolidated School District,"5,008","1,035",81,
IN,18,09750,Rush County Schools,"14,525","2,459",325,
IN,18,09810,Salem Community Schools,"12,724","2,028",343,
IN,18,09990,Scott County School District 1,"6,568","1,172",266,
IN,18,10020,Scott County School District 2,"17,305","2,805",403,
IN,18,10080,Seymour Community Schools,"28,271","5,006",577,
IN,18,10110,Shakamak Schools Metropolitan School District,"5,204",867,171,
IN,18,03210,Shelby Eastern Schools,"8,513","1,374",101,
IN,18,10140,Shelbyville Central Schools,"23,738","3,864",519,
IN,18,08280,Shenandoah School Corporation,"7,254","1,257",133,
IN,18,06480,Sheridan Community Schools,"7,458","1,328",115,
IN,18,10170,Shoals Community School Corporation,"4,485",695,104,
IN,18,10230,Smith-Green Community Schools,"7,543","1,304",122,
IN,18,10260,South Adams Schools,"10,960","2,611",761,
IN,18,10290,South Bend Community School Corporation,"163,039","26,273","6,490",
IN,18,02190,South Central Community School Corporation,"4,038",720,95,
IN,18,00240,South Dearborn Community School Corporation,"17,196","2,814",466,
IN,18,10350,South Gibson School Corporation,"12,378","2,338",168,
IN,18,10360,South Harrison Community Schools,"21,755","3,443",407,
IN,18,10380,South Henry School Corporation,"4,319",711,57,
IN,18,10410,South Knox School Corporation,"5,888","1,101",102,
IN,18,10440,South Madison Community School Corporation,"25,715","4,518",309,
IN,18,10450,South Montgomery Community School Corporation,"10,592","1,923",259,
IN,18,10470,South Newton School Corporation,"5,099",787,117,
IN,18,10500,South Putnam Community Schools,"9,543","1,184",129,
IN,18,10530,South Ripley Community School Corporation,"7,558","1,192",164,
IN,18,10560,South Spencer County School Corporation,"8,621","1,445",176,
IN,18,10590,South Vermillion Community School Corporation,"11,210","1,871",253,
IN,18,10640,Southeast Dubois County School Corporation,"7,437","1,308",64,
IN,18,10620,Southeast Fountain School Corporation,"6,739","1,090",149,
IN,18,10680,Southeastern School Corporation,"8,178","1,368",133,
