State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,08010,North Spencer County School Corporation,"11,685","1,906",164
IN,18,08070,North Vermillion Community School Corporation,"4,283",681,144
IN,18,08100,North West Hendricks Schools,"11,053","2,230",91
IN,18,08130,North White School Corporation,"5,954",965,173
IN,18,08120,Northeast Dubois County School Corporation,"5,500",977,72
IN,18,08160,Northeast School Corporation,"8,364","1,315",249
IN,18,08190,Northeastern Wayne Schools,"5,583","1,065",232
IN,18,08220,Northern Wells Community Schools,"15,488","2,823",277
IN,18,08250,Northwest Allen County Schools,"37,042","7,910",378
IN,18,08310,Northwestern Consolidated School Corporation,"7,713","1,428",203
IN,18,02040,Northwestern School Corporation,"8,659","1,570",167
IN,18,08340,Oak Hill United School Corporation,"7,381","1,284",181
IN,18,08460,Oregon-Davis School Corporation,"4,329",707,103
IN,18,08490,Orleans Community Schools,"4,683",835,161
IN,18,08640,Paoli Community School Corporation,"9,150","1,532",363
IN,18,08760,Penn-Harris-Madison School Corporation,"62,038","11,955",769
IN,18,01740,Perry Central Community School Corporation,"7,268","1,105",108
IN,18,08820,Perry Township Metropolitan School District,"99,211","16,651","2,599"
IN,18,08850,Peru Community Schools,"13,010","2,126",465
IN,18,08900,Pike County School Corporation,"12,410","2,008",240
IN,18,08910,Pike Township Metropolitan School District,"77,727","13,818","2,404"
IN,18,08940,Pioneer Regional School Corporation,"5,065",869,103
IN,18,08970,Plainfield Community School Corporation,"31,995","5,200",384
IN,18,09060,Plymouth Community School Corporation,"19,243","3,456",515
IN,18,09150,Portage Township Schools,"48,602","8,414","1,374"
IN,18,09180,Porter Township School Corporation,"9,610","1,551",114
IN,18,09300,Prairie Heights Community School Corporation,"9,966","1,583",155
IN,18,01770,Randolph Central School Corporation,"9,388","1,529",284
IN,18,03180,Randolph Eastern School Corporation,"4,965",869,202
IN,18,10740,Randolph Southern School Corporation,"3,089",540,106
IN,18,09420,Rensselaer Central School Corporation,"10,683","1,748",214
IN,18,09480,Richland-Bean Blossom Community School Corporation,"18,375","3,214",343
IN,18,09510,Richmond Community School Corporation,"40,233","5,927","1,373"
IN,18,09600,Rising Sun-Ohio County Community Schools,"5,844",844,90
IN,18,04620,River Forest Community School Corporation,"7,274","1,261",433
IN,18,09630,Rochester Community School Corporation,"11,275","1,835",391
IN,18,09720,Rossville Consolidated School District,"4,978","1,033",79
IN,18,09750,Rush County Schools,"14,597","2,481",366
IN,18,09810,Salem Community Schools,"12,682","1,987",403
IN,18,09990,Scott County School District 1,"6,572","1,177",280
IN,18,10020,Scott County School District 2,"17,306","2,817",476
IN,18,10080,Seymour Community Schools,"28,194","4,999",734
IN,18,10110,Shakamak Schools Metropolitan School District,"5,211",892,154
IN,18,03210,Shelby Eastern Schools,"8,487","1,396",122
IN,18,10140,Shelbyville Central Schools,"23,666","3,928",652
IN,18,08280,Shenandoah School Corporation,"7,293","1,262",171
IN,18,06480,Sheridan Community Schools,"7,299","1,312",107
IN,18,10170,Shoals Community School Corporation,"4,469",688,114
IN,18,10230,Smith-Green Community Schools,"7,547","1,318",96
IN,18,10260,South Adams Schools,"10,917","2,584",789
IN,18,10290,South Bend Community School Corporation,"162,405","26,456","5,285"
IN,18,02190,South Central Community School Corporation,"4,042",727,60
IN,18,00240,South Dearborn Community School Corporation,"17,235","2,874",399
IN,18,10350,South Gibson School Corporation,"12,298","2,269",165
IN,18,10360,South Harrison Community Schools,"21,667","3,454",450
IN,18,10380,South Henry School Corporation,"4,354",717,77
IN,18,10410,South Knox School Corporation,"5,936","1,093",136
IN,18,10440,South Madison Community School Corporation,"25,730","4,550",373
IN,18,10450,South Montgomery Community School Corporation,"10,599","1,946",266
IN,18,10470,South Newton School Corporation,"5,107",801,134
IN,18,10500,South Putnam Community Schools,"9,601","1,191",147
IN,18,10530,South Ripley Community School Corporation,"7,608","1,229",203
IN,18,10560,South Spencer County School Corporation,"8,642","1,477",195
IN,18,10590,South Vermillion Community School Corporation,"11,196","1,853",331
IN,18,10640,Southeast Dubois County School Corporation,"7,414","1,292",111
IN,18,10620,Southeast Fountain School Corporation,"6,740","1,111",157
IN,18,10680,Southeastern School Corporation,"8,236","1,379",161
IN,18,10710,Southern Hancock County Community School Corporation,"18,946","3,495",151
IN,18,10770,Southern Wells Community Schools,"4,020",781,61
IN,18,00030,Southwest Allen County Metropolitan School District,"41,301","8,594",487
